time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.50258e-07	238.403
1	2.50258e-07	6.48303e-07	238.403
2	6.48303e-07	1.28141e-06	2676.12
3	1.28141e-06	2.2884e-06	60291.5
4	2.2884e-06	3.89006e-06	52048
5	3.89006e-06	6.43757e-06	41230
6	6.43757e-06	1.04895e-05	54197.5
7	1.04895e-05	1.69343e-05	69106.4
8	1.69343e-05	2.71849e-05	55582.3
9	2.71849e-05	4.34891e-05	14287.9
10	4.34891e-05	6.94216e-05	6164.45
11	6.94216e-05	0.000110668	4855.93
12	0.000110668	0.000176273	3229.38
13	0.000176273	0.000280621	1544.47
14	0.000280621	0.00044659	501.129
15	0.00044659	0.000710571	279.514
16	0.000710571	0.00113044	3757.37
17	0.00113044	0.00179827	116.472
18	0.00179827	inf	116.472
